pmid	title_e	journal
34994776	SARS-CoV-2 Antibody Response to 2 or 3 Doses of the BNT162b2 Vaccine in Patients Treated With Anticancer Agents.	JAMA Oncol
34994577	Immunoglobulin G immune response to SARS-CoV-2 vaccination in people living with multiple sclerosis within Multiple Sclerosis Partners Advancing Technology and Health Solutions.	Mult Scler
34994327	Nucleic Acid-Based Vaccines Platform Against Covid-19 Pandemic.	Curr Mol Med
34994297	Discovery of compounds inhibiting SARS-COV-2 multi-targets.	J Biomol Struct Dyn
34994256	Association Between the Effectiveness and Immunogenicity of Inactivated SARS-CoV2 Vaccine (CoronaVac) with the Presence of Hypertension among Health Care Workers.	Clin Exp Hypertens
34994081	Decreased memory B cells frequencies in COVID-19 Delta variant vaccine breakthrough infection.	EMBO Mol Med
34993868	Minority Healthcare Workers' Perception of Safety and COVID-19 Vaccination Uptake.	J Gen Intern Med
34993853	An Analysis COVID-19 in Mexico: a Prediction of Severity.	J Gen Intern Med
34993000	Cerebral Venous Sinus Thrombosis With Severe Thrombocytopenia: A Fatal Adverse Event After Johnson & Johnson COVID-19 Vaccination.	Neurol Clin Pract
34992785	Association of COVID-19 antigenicity with the development of antineutrophilic cytoplasmic antibody vasculitis.	Respirol Case Rep
34992726	The Way Ahead: Life After COVID-19.	Methodist Debakey Cardiovasc J
34992610	A Single Dose SARS-CoV-2 Replicon RNA Vaccine Induces Cellular and Humoral Immune Responses in Simian Immunodeficiency Virus Infected and Uninfected Pigtail Macaques.	Front Immunol
34992449	Recent Advancements on COVID-19: A Comprehensive Review.	Int J Gen Med
34992113	Factors associated with COVID-19 vaccine receipt at two integrated healthcare systems in New York City: a cross-sectional study of healthcare workers.	BMJ Open
34992051	Risk Factors for COVID-19 in College Students Identified by Physical, Mental, and Social Health Reported During the Fall 2020 Semester: An Observational Study Using the Roadmap app and Fitbit Wearable Sensors.	JMIR Ment Health
34991982	An update on drugs with therapeutic potential for SARS-CoV-2 (COVID-19) treatment.	Drug Resist Updat
34991852	Ramsay Hunt syndrome and mRNA SARS-COV-2 vaccination.	Enferm Infecc Microbiol Clin (Engl Ed)
34991780	Vaccine effectiveness against severe acute respiratory infections (SARI) COVID-19 hospitalisations estimated from real-world surveillance data, Slovenia, October 2021.	Euro Surveill
34991778	Impact of booster vaccination on the control of COVID-19 Delta wave in the context of waning immunity: application to France in the winter 2021/22.	Euro Surveill
34991776	Unexposed populations and potential COVID-19 hospitalisations and deaths in European countries as per data up to 21 November 2021.	Euro Surveill
34991109	Association Between Menstrual Cycle Length and Coronavirus Disease 2019 (COVID-19) Vaccination: A U.S. Cohort.	Obstet Gynecol
34990801	Comment on a case of pityriasis rosea shortly after Moderna COVID-19 vaccination.	Int J Infect Dis
34990785	What about potential toxic effects of COVID-19 vaccines?	Food Chem Toxicol
34990709	Pfizer-BioNTech and Oxford AstraZeneca COVID-19 vaccine effectiveness and immune response among individuals in clinical risk groups.	J Infect
34990653	Interferon Control of Human Coronavirus Infection and Viral Evasion: Mechanistic Insights and Implications for Antiviral Drug and Vaccine Development.	J Mol Biol
34990593	Qualitative and Quantitative Detection of SARS-CoV-2 Antibodies from Dried Blood Spots.	Clin Biochem
34990445	Receipt of COVID-19 Vaccine During Pregnancy and Preterm or Small-for-Gestational-Age at Birth - Eight Integrated Health Care Organizations, United States, December 15, 2020-July 22, 2021.	MMWR Morb Mortal Wkly Rep
34990408	Aerosol delivery, but not intramuscular injection, of adenovirus-vectored tuberculosis vaccine induces respiratory-mucosal immunity in humans.	JCI Insight
34990107	Column Agglutination Assay Using Polystyrene Microbeads for Rapid Detection of Antibodies against SARS-CoV-2.	ACS Appl Mater Interfaces
34989811	Effect of influenza vaccination on risk of COVID-19 - A prospective cohort study of 46,000 health care workers.	J Infect Dis
34989782	A National Strategy for COVID-19 Medical Countermeasures: Vaccines and Therapeutics.	JAMA
34989454	Antibody responses to inactivated SARS-CoV-2 vaccine in peritoneal dialysis patients.	Semin Dial
34989403	The SARS-CoV-2 Omicron (B.1.1.529) variant and effectiveness of existing vaccines: What we know so far.	J Med Virol
34989330	Age-associated SARS-CoV-2 breakthrough infection and changes in immune response in mouse model.	Emerg Microbes Infect
34989238	Omicron Variant (B.1.1.529): Infectivity, Vaccine Breakthrough, and Antibody Resistance.	J Chem Inf Model
34989097	Response to and outcomes of the Pfizer BNT162B2 vaccine in hemodialysis patients-A prospective observational study.	Hemodial Int
34989059	(Mis)Communication of COVID-19 vaccine benefits and harms.	J Eval Clin Pract
34989018	Lichen planus after CoronaVac: a rare complication of vaccines.	J Eur Acad Dermatol Venereol
34988998	Neutralizing potency of COVID-19 vaccines against the SARS-CoV-2 Omicron (B.1.1.529) variant.	J Med Virol
34988942	Impact of tozinameran (BNT162b2) mRNA vaccine on kidney transplant and chronic dialysis patients: 3-5 months follow-up.	J Nephrol
34988925	Practice report: an Alberta Metis model for COVID-19 vaccine delivery.	Can J Public Health
34988889	Neutralizing antibody: a savior in the Covid-19 disease.	Mol Biol Rep
34988883	Abrupt worsening of occult IgA nephropathy after the first dose of SARS-CoV-2 vaccination.	CEN Case Rep
34988252	Minimum Manufacturing Costs, National Prices, and Estimated Global Availability of New Repurposed Therapies for Coronavirus Disease 2019.	Open Forum Infect Dis
34987936	Epidemiology and Risk Factors of COVID-19-Related Mortality.	Cureus
34987889	First Reported Case of Reversible Cerebral Vasoconstriction Syndrome After a SARS-CoV-2 Vaccine.	Cureus
34987555	COVID-19 and inequities in the Americas: lessons learned and implications for essential health services.	Rev Panam Salud Publica
34987509	An Intranasal OMV-Based Vaccine Induces High Mucosal and Systemic Protecting Immunity Against a SARS-CoV-2 Infection.	Front Immunol
34987505	Detection of Antibody Responses Against SARS-CoV-2 in Plasma and Saliva From Vaccinated and Infected Individuals.	Front Immunol
34987300	COVID-19 Vaccination Uptake and Hesitancy Among Current Tobacco Users.	Tob Use Insights
34987256	La raison pour laquelle je me suis fait vacciner contre la COVID-19.	Can J Hosp Pharm
34987246	Knowledge, Attitude, Practice and Stigma Related to COVID-19: A Nigerian Perspective.	Niger J Physiol Sci
34987151	Blood pressure measurements after mRNA-SARS-CoV-2 tozinameran vaccination: a retrospective analysis in a university hospital in France.	J Hum Hypertens
34987092	Immunogenicity of BNT162b2 mRNA SARS-CoV-2 vaccine in patients with psoriatic arthritis on TNF inhibitors.	RMD Open
34987077	Ramsay Hunt syndrome following COVID-19 vaccination.	Postgrad Med J
34986778	The chance of COVID-19 infection after vaccination.	Infect Disord Drug Targets
34986404	VACCINE-INDUCED MASSIVE PULMONARY EMBOLISM AND THROMBOCYTOPENIA FOLLOWING A SINGLE DOSE OF JANSSEN AD26.COV2.S VACCINATION.	Int J Infect Dis
34986328	COVID-19 mRNA booster vaccines elicit strong protection against SARS-CoV-2 Omicron variant in patients with cancer.	Cancer Cell
34986327	Cellular and humoral functional responses after BNT162b2 mRNA vaccination differ longitudinally between naive and subjects recovered from COVID-19.	Cell Rep
34986294	Effect of Covid-19 Vaccination on Transmission of Alpha and Delta Variants.	N Engl J Med
34986283	Covid-19 Infections in Vaccinated Health Care Workers. Reply.	N Engl J Med
34986282	Covid-19 Infections in Vaccinated Health Care Workers.	N Engl J Med
34986088	The EU Digital COVID Certificate: Should We Differentiate Between Previously Infected and Fully Vaccinated People?	Acta Med Port
34986076	Adverse events reported after administration of BNT162b2 and mRNA-1273 COVID-19 vaccines among hospital workers: a cross-sectional survey-based study in a Spanish hospital.	Expert Rev Vaccines
34985455	[Hypertension after COVID-19 vaccination].	G Ital Cardiol (Rome)
34985303	Cyclosporine A Inhibits Viral Infection and Release as Well as Cytokine Production in Lung Cells by Three SARS-CoV-2 Variants.	Microbiol Spectr
34984963	Identification of SARS-CoV-2 main protease inhibitors from FDA-approved drugs by artificial intelligence-supported activity prediction system.	J Biomol Struct Dyn
34984802	Humoral immune response to Covid-19 vaccination in diabetes: age-dependent but independent of type of diabetes and glycaemic control - the prospective COVAC-DM cohort study.	Diabetes Obes Metab
34984777	Erythema Nodosum after Moderna mRNA-1273 Covid-19 Vaccine.	Dermatol Ther
34984646	COVID-19: vaccination vs. hospitalization.	Infection
34984055	De Novo Immunoglobulin A Vasculitis Following Exposure to SARS-CoV-2 Immunization.	Ochsner J
34984008	COVID-19 Vaccine Uptake and Associated Factors Among Health Professionals in Ethiopia.	Infect Drug Resist
34983926	USP10 regulates B cell response to SARS-CoV-2 or HIV-1 nanoparticle vaccines through deubiquitinating AID.	Signal Transduct Target Ther
34983709	Delayed systemic urticarial reactions following mRNA COVID-19 vaccination.	Allergy Asthma Proc
34983703	Evaluation and management of adverse reactions to the COVID-2019 vaccines.	Allergy Asthma Proc
34983692	Hesitancy in COVID-19 vaccine uptake and its associated factors among the general adult population: a cross-sectional study in six Southeast Asian countries.	Trop Med Health
34983583	Sequential immunization with SARS-CoV-2 RBD vaccine induces potent and broad neutralization against variants in mice.	Virol J
34983527	Monoclonal antibodies for COVID-19 therapy and SARS-CoV-2 detection.	J Biomed Sci
34983429	Surveillance of SARS-CoV-2 antibodies of patients in the local affected area during Wuhan lockdown.	BMC Infect Dis
34983348	Tuberculosis, BCG Vaccination and COVID-19: Are They Connected?	Mini Rev Med Chem
34983336	Applications of lipid-based nanocarriers for parenteral drug delivery.	Curr Med Chem
34983070	Has the COVID-19 Pandemic Impacted Interest in Cosmetic Facial Plastic Surgery?: A Google Trends Analysis.	Facial Plast Surg
34983057	Clinical characteristics and risk factors for maternal deaths due to COVID-19 in Brazil: A nationwide population-based cohort study.	J Travel Med
34982968	Two-step fitness selection for intra-host variations in SARS-CoV-2.	Cell Rep
34982967	High-titer neutralization of Mu and C.1.2 SARS-CoV-2 variants by vaccine-elicited antibodies of previously infected individuals.	Cell Rep
34982962	Short-term effectiveness of COVID-19 vaccines in immunocompromised patients: a systematic literature review and meta-analysis.	J Infect
34982758	Real-world Effectiveness of the Pfizer-BioNTech BNT162b2 and Oxford-AstraZeneca ChAdOx1-S Vaccines Against SARS-CoV-2 in Solid Organ and Islet Transplant Recipients.	Transplantation
34982665	Easing Burnout in Health Care.	IEEE Pulse
34982663	Innovative Vaccines to Fight COVID-19, Other Viruses.	IEEE Pulse
34982508	Retrospective evaluation of patients with chronic spontaneous urticaria using omalizumab during the COVID-19 pandemic.	J Cosmet Dermatol
34982462	Host factors and history of SARS-CoV-2 infection impact the reactogenicity of BNT162b2 mRNA vaccine: results from a cross-sectional survey on 7,014 workers in healthcare.	Eur Rev Med Pharmacol Sci
34982406	PEPFAR's Role in Protecting and Leveraging HIV Services in the COVID-19 Response in Africa.	Curr HIV/AIDS Rep
34982375	Duration of antibody responses following severe acute respiratory syndrome coronavirus 2 infection.	Ir J Med Sci
34982290	Ocular inflammatory events following COVID-19 vaccination: a multinational case series.	J Ophthalmic Inflamm Infect
34982111	Lottery-Based Incentives and COVID-19 Vaccination Rates in the US.	JAMA Intern Med
34982069	Angioedema Following COVID-19 Vaccination.	Ophthalmic Plast Reconstr Surg
34982067	"Re: ""Transient Eyelid Edema Following COVID-19 Vaccination""."	Ophthalmic Plast Reconstr Surg
34982066	"Reply re: ""Thyroid Eye Disease Following COVID-19 Vaccine in a Patient With a History Graves' Disease: A Case Report""."	Ophthalmic Plast Reconstr Surg
34982065	"Re: ""Thyroid Eye Disease Following COVID-19 Vaccine in a Patient With a History Graves' Disease: A Case Report""."	Ophthalmic Plast Reconstr Surg
34981827	The beauty that still remains in COVID-19 vaccines. Authors' reply.	Kardiol Pol
34981720	Kinetic Characteristics of Neutralizing Antibody Responses Vary among Patients with COVID-19.	Biomed Environ Sci
34981698	Mandatory vaccination in child daycare and its relevance to coronavirus disease 2019.	Croat Med J
34981657	Six-months immunogenicity of BNT162b2 mRNA vaccine in heart transplanted and ventricle assist device-supported patients.	ESC Heart Fail
34981495	Resveratrol as a Probable Multiheaded Treatment Approach for COVID-19.	Adv Exp Med Biol
34981473	Antiviral Plants in View of Avicenna's The Canon of Medicine and Modern Medicine Against Common Cold.	Adv Exp Med Biol
34981440	Bioengineering of Novel Non-Replicating mRNA (NRM) and Self-Amplifying mRNA (SAM) Vaccine Candidates Against SARS-CoV-2 Using Immunoinformatics Approach.	Mol Biotechnol
34981433	Limited increase in antibody titers following mRNA SARS-CoV-2 vaccination for more than 3 years after final dose of anti-CD20 antibody.	Int J Hematol
34981422	A young adult with nephrotic syndrome following COVID-19 vaccination.	CEN Case Rep
34981367	Advancing COVID Vaccination Equity at Federally Qualified Health Centers: a Rapid Qualitative Review.	J Gen Intern Med
34981285	Guillain-Barre syndrome associated with BNT162b2 COVID vaccination: a first case report from South Korea.	Neurol Sci
34981278	From Bench to the Clinic: The Path to Translation of Nanotechnology-Enabled mRNA SARS-CoV-2 Vaccines.	Nanomicro Lett
34981122	Human Milk SARS-CoV-2 Antibodies up to 6 Months After Vaccination.	Pediatrics
34981041	Static Socio-Ecological COVID-19 Vulnerability Index and Vaccine Hesitancy Index for England.	Lancet Reg Health Eur
34980975	Cardiogenic shock revealing myocarditis after mRNA vaccination against covid-19: Case report and brief review for the first case in Morocco.	Ann Med Surg (Lond)
34980951	[Anaphylaxis and COVID-19 vaccines].	Rev Fr Allergol (2009)
34980833	Outcomes of patients with thromboembolic events following coronavirus disease 2019 AstraZeneca vaccination: a systematic review and meta-analysis.	Blood Coagul Fibrinolysis
34980798	Antibody Responses to the BNT162b2 mRNA Vaccine in Healthcare Workers in a General Hospital in Japan: A Comparison of Two Assays for Anti-spike Protein Immunoglobulin G.	Intern Med
34980703	Evaluation of a Lateral Flow Immunoassay COVIDTECH((R)) SARS-CoV-2 IgM/IgG Antibody Rapid Test.	Jpn J Infect Dis
34980631	Attitudes towards vaccines and intention to vaccinate against COVID-19: a cross-sectional analysis-implications for public health communications in Australia.	BMJ Open
34980605	Impact of the COVID-19 pandemic on the utilisation of health services at public hospitals in Yemen: a retrospective comparative study.	BMJ Open
34980603	"Covid-19: An urgent call for global ""vaccines-plus"" action."	BMJ
34980554	Manifestation of paroxysmal nocturnal hemoglobinuria after COVID-19 mRNA vaccination.	Blood Cells Mol Dis
34980269	Casirivimab-imdevimab neutralizing SARS-CoV-2: post-infusion clinical events and their risk factors.	J Pharm Health Care Sci
34979829	Thinking about Social Consequences of COVID-19 Influenced Preventive Intention: The Case of South Korea.	Health Commun
34979606	Who Influences the Public Intention to Get a COVID-19 Vaccine and What are the Public References and Concerns? A Population Survey in Vietnam.	Infect Chemother
34979603	Should Breakthrough SARS-CoV-2 Infection Affect Our Confidence in the COVID-19 Vaccines?	Infect Chemother
34979573	Phytoconstituents in the Management of Covid-19: Demystifying the Fact.	Drug Res (Stuttg)
34979342	Specific inhibition of the NLRP3 inflammasome suppresses immune overactivation and alleviates COVID-19 like pathology in mice.	EBioMedicine
34979336	Janssen COVID-19 vaccine tolerated in 10 patients with confirmed polyethylene glycol allergy.	J Allergy Clin Immunol Pract
34979247	Vulvar Aphthous Ulcer and COVID-19 mRNA Vaccination.	J Pediatr Adolesc Gynecol
34979030	SARS-CoV-2 variant exposures elicit antibody responses with differential cross-neutralization of established and emerging strains including Delta and Omicron.	J Infect Dis
34978842	Ebola virus disease: Current perception of clinical features, diagnosis, pathogenesis, and therapeutics.	Acta Virol
34978781	A Case of Multisystem Inflammatory Syndrome in a 12-year-old Male After COVID-19 mRNA Vaccine.	Pediatr Infect Dis J
34978708	Scaling the Children Immunization App (CIMA) to Support Child Refugees and Parents in the Time of the COVID-19 Pandemic: A Social Capital Approach to Scale a Smartphone Application in Zaatari Camp, Jordan.	J Epidemiol Glob Health
34978702	Humoral Immune Response to COVID-19 Vaccination in Hemodialysis Patients: A Retrospective, Observational Case-Control Pilot Study.	High Blood Press Cardiovasc Prev
34978572	COVID-19 vaccine-induced encephalitis and status epilepticus.	QJM
34978571	Primary COVID-19 vaccine cycle and booster doses efficacy: analysis of Italian nationwide vaccination campaign.	Eur J Public Health
34978569	A year of Covid-19: Experiences and lessons learnt by small European island states: Cyprus, Iceland, and Malta.	Eur J Public Health
34978376	Early experience of COVID-19 vaccine-related adverse events among adolescents and young adults with rheumatic diseases: A single-center study.	Int J Rheum Dis
34978352	Sarcoidal immune reaction following SARS-CoV-2 vaccination.	Clin Exp Dermatol
34978339	The effectiveness of mRNA-1273 vaccine against COVID-19 caused by delta variant: A systematic review and meta-analysis.	J Med Virol
34978209	A Shot of Faith-Analyzing Vaccine Hesitancy in Certain Religious Communities in the United States.	Am J Health Promot
34978156	COVID-19 vaccination can occasionally trigger autoimmune phenomena, probably via inducing age-associated B cells.	Int J Rheum Dis
34978050	Comparison of antibody response to two different mRNA Covid-19 vaccines in patients on hemodialysis.	J Nephrol
34978002	First Identified Case of Fatal Fulminant Necrotizing Eosinophilic Myocarditis Following the Initial Dose of the Pfizer-BioNTech mRNA COVID-19 Vaccine (BNT162b2, Comirnaty): an Extremely Rare Idiosyncratic Hypersensitivity Reaction.	J Clin Immunol
34977922	Cohort Profile: The COVID-19 in Pregnancy in Scotland (COPS) dynamic cohort of pregnant women to assess effects of viral and vaccine exposures on pregnancy.	Int J Epidemiol
34977913	The fastest national COVID vaccination in Europe - Malta's strategies.	Health Sci Rev (Oxf)
34977869	Nasally inhaled therapeutics and vaccination for COVID-19: Developments and challenges.	MedComm (2020)
34977848	COVID-19 hospitalizations and deaths averted under an accelerated vaccination program in northeastern and southern regions of the USA.	Lancet Reg Health Am
34977828	A protein subunit vaccine booster following two doses oZactivated SARS-CoV-2 vaccine provides high neutralisation of SARS-CoV-2 and its variants in mice.	Lancet Microbe
34977819	Recurrent erythema nodosum after second dose of the Pfizer-BioNTech BNT162b2 COVID-19 messenger RNA vaccine.	JAAD Int
34977602	Humoral and cellular immune responses to two and three doses of SARS-CoV-2 vaccines in rituximab-treated patients with rheumatoid arthritis: a prospective, cohort study.	Lancet Rheumatol
34977572	An overview of methods for the structural and functional mapping of epitopes recognized by anti-SARS-CoV-2 antibodies.	RSC Chem Biol
34977553	Pharmacists-physicians collaborative intervention to reduce vaccine hesitancy and resistance: A randomized controlled trial.	Vaccine X
34977517	Evaluation of protection by COVID-19 vaccines after deployment in low and lower-middle income countries.	EClinicalMedicine
34977496	Humoral and Cellular Immunogenicity two months after SARS-CoV-2 messenger RNA Vaccines in Patients with Cancer.	iScience
34977439	Effect of vaccination, border testing, and quarantine requirements on the risk of COVID-19 in New Zealand: A modelling study.	Infect Dis Model
34977435	Primary Podocytopathies following Covid-19 Vaccination.	Kidney Int Rep
34977397	Indonesia Medical Students' Knowledge, Attitudes, and Practices toward COVID-19.	Heliyon
34977360	Efficacy and Safety of the SARS-CoV-2 Vaccine in Patients with Giant Cell Arteritis.	Med Clin (Engl Ed)
34977333	Cervical Cancer: Formulation and Implementation of Govt of India Guidelines for Screening and Management.	Indian J Gynecol Oncol
34977312	SARS CoV-2 Serostatus amongst vaccinated employees at a pediatric hospital system.	Pract Lab Med
34976917	Considerations for the Safe Operation of Schools During the Coronavirus Pandemic.	Front Public Health
34976916	Estimating COVID Risk During a Period of Pandemic Decline.	Front Public Health
34976911	Factors Influencing COVID-19 Vaccination Intentions Among College Students: A Cross-Sectional Study in India.	Front Public Health
34976882	Recommendations for Pediatric Dermatology Practice during COVID-19 Pandemic.	Indian Dermatol Online J
34976878	Updates on Management of Leprosy in the Context of COVID-19 Pandemic: Recommendations by IADVL SIG Leprosy.	Indian Dermatol Online J
34976876	Recommendations for COVID Vaccination for Dermatological Patients on Immunosuppressive/Immunomodulatory Therapy (IADVL Academy).	Indian Dermatol Online J
34976867	Differential Antibody Response to Inactivated COVID-19 Vaccines in Healthy Subjects.	Front Cell Infect Microbiol
34976747	Recurring subacute thyroiditis after SARS-CoV-2 mRNA vaccine: A case report.	Case Rep Womens Health
34976711	An analysis of the COVID-19 vaccination campaigns in France, Israel, Italy and Spain and their impact on health and economic outcomes.	Health Policy Technol
34976653	Early solicited adverse events following the BNT162b2 mRNA vaccination, a population survey from Saudi Arabia.	Prev Med Rep
34976571	A Review on Deep Learning Techniques for the Diagnosis of Novel Coronavirus (COVID-19).	IEEE Access
34976499	Waning of Anti-spike Antibodies in AZD1222 (ChAdOx1) Vaccinated Healthcare Providers: A Prospective Longitudinal Study.	Cureus
34976393	COVID-19 vaccine hesitancy among indigenous people in Yemen: An incipient crisis.	Ann Med Surg (Lond)
34976267	COVID-19 vaccine-related axillary edema in breast imaging setting.	Radiol Case Rep
34975908	Assessment of SARS-CoV-2 Immunity in Convalescent Children and Adolescents.	Front Immunol
34975897	Anti-SARS-CoV-2 Immunoglobulin Isotypes, and Neutralization Activity Against Viral Variants, According to BNT162b2-Vaccination and Infection History.	Front Immunol
34975839	Balancing the Risks and Benefits of COVID-19 Vaccination for Pregnant Women and Their Children.	Front Immunol
34975811	Genetic Vaccination as a Flexible Tool to Overcome the Immunological Complexity of Invasive Fungal Infections.	Front Microbiol
34975599	COVID-19 Vaccination Rates in a Cohort Study of Patients With Mental Illness in Residential and Community Care.	Front Psychiatry
34975340	COVID-19: systemic pathology and its implications for therapy.	Int J Biol Sci
34975266	SARS-CoV-2 Variants: Mutations and Effective Changes.	Biotechnol Bioprocess Eng
34975265	Value-based pricing of a COVID-19 vaccine.	Q Rev Econ Finance
34975241	Vaccination in Chronic Liver Disease: An Update.	J Clin Exp Hepatol
34975177	Synthesis and investigation of anti-COVID19 ability of ferrocene Schiff base derivatives by quantum chemical and molecular docking.	J Mol Struct
34975176	[Systemic capillary leak syndrome after SARS-CoV-2 infection and after COVID-19 vaccination: A scoping review in relation to a clinical case].	Rev Clin Esp
34975092	Post coronavirus disease-2019 vaccination Guillain-Barre syndrome.	Indian J Public Health
34975048	Clinical features, demography, and predictors of outcomes of SARS-CoV-2 infection at a tertiary care hospital in India: A cohort study.	Lung India
34974779	From COVID-19 Vaccination Intention to Actual Vaccine Uptake: A Longitudinal Study Among Chinese Adults After Six Months of a National Vaccination Campaign.	Expert Rev Vaccines
34974777	School-Located Vaccination: Clinics in the Context of COVID-19 - A tips sheet for immunization programs (IP).	NASN Sch Nurse
34974775	The Landscape of State and Local School-Located Vaccination Clinics: Practices, Policies, and Lessons Learned for Providing COVID-19 and Routine Vaccinations.	NASN Sch Nurse
34974774	Key Challenges and Opportunities for Implementing School Located Vaccination Clinics for COVID-19 and Influenza: Roundtables With School Nurses and Immunization Programs.	NASN Sch Nurse
34974674	SARS-CoV-2 vaccination for adult patients with inflammatory bowel disease: expert consensus statement by KASID.	Intest Res
34974509	SARS-CoV-2 vaccination in patients with inflammatory bowel disease: systemic review and meta-analysis.	J Chin Med Assoc
34974378	SARS-CoV-2 vaccination triggered Guillain-Barre syndrome.	Clin Neurol Neurosurg
34974335	Adenovirus vector-based vaccine for infectious diseases.	Drug Metab Pharmacokinet
34974274	Isolation and characterization of SARS-CoV-2 Beta variant from UAE travelers.	J Infect Public Health
34974072	Pfizer-BioNTech vaccine effectiveness against Sars-Cov-2 infection: Findings from a large observational study in Israel.	Prev Med
34973847	Acute Mesenteric Ischemia in Patients with COVID-19: Review of the literature.	J Natl Med Assoc
34973526	Leukocytoclastic vasculitis (cutaneous small-vessel vasculitis) after COVID-19 vaccination.	J Autoimmun
34973510	Analysis of the humoral and cellular immune response after a full course of BNT162b2 anti-SARS-CoV-2 vaccine in cancer patients treated with PD-1/PD-L1 inhibitors with or without chemotherapy: an update after 6 months of follow-up.	ESMO Open
34973454	Tracking and controlling the spatiotemporal spread of SARS-CoV-2 Omicron variant in South Africa.	Travel Med Infect Dis
34973442	A year of Pandemic - Comparison of depression among Neurosurgeons after the advent of COVID vaccine.	World Neurosurg
34973356	Trends in COVID-19 vaccination receipt and intention to vaccinate, United States, April - August, 2021.	Am J Infect Control
34973285	Importance of COVID-19 Vaccination in Children: viewpoint and recommendations of the Union of European National Societies of Pediatrics.	J Pediatr
34972811	Safety of vaccination against SARS-CoV-2 in people with rheumatic and musculoskeletal diseases: results from the EULAR Coronavirus Vaccine (COVAX) physician-reported registry.	Ann Rheum Dis
34972809	Trends and clinical characteristics of 57.9 million COVID-19 vaccine recipients: a federated analysis of patients' primary care records in situ using OpenSAFELY.	Br J Gen Pract
34972692	US adults' preferences for race-based and place-based prioritisation for COVID-19 vaccines.	J Med Ethics
34972675	Pediatric vaccination against COVID-19 and despite COVID-19.	An Pediatr (Engl Ed)
34972632	Polymer-hybrid nanosystems for antiviral applications: Current advances.	Biomed Pharmacother
34972630	Management of COVID-19 post-vaccine Bell's palsy in an outpatient.	Clin Imaging
34972616	Near future image of orthopedics after COVID-19 pandemic.	J Orthop Sci
34972524	Correction to: COVID-19 vaccine preferences among university students in Hong Kong: a discrete choice experiment.	BMC Res Notes
34972217	COVID-19 Vaccines in Children and Adolescents.	Pediatrics
34971970	Affinity of anti-spike antibodies in SARS-CoV-2 patient plasma and its effect on COVID-19 antibody assays.	EBioMedicine
34971845	Population-based incidence, severity, and risk factors associated with treated acute-onset COVID-19 mRNA vaccination-associated hypersensitivity reactions.	J Allergy Clin Immunol Pract
34971839	Evaluation of serological anti-SARS-CoV-2 chemiluminescent immunoassays correlated to live virus neutralization test, for the detection of anti-RBD antibodies as a relevant alternative in COVID-19 large-scale neutralizing activity monitoring.	Clin Immunol
34971823	Decreased severity of disease during the first global omicron variant covid-19 outbreak in a large hospital in tshwane, south africa.	Int J Infect Dis
34971822	Community seroprevalence and risk factors for SARS CoV-2 infection in different subpopulations in Vellore, India and its implications for future prevention.	Int J Infect Dis
34971716	Factors associated with Intensified Infection Prevention and Vaccination Practice among Thai Healthcare Personnel: A Multicenter survey during COVID-19 pandemic.	Am J Infect Control
34971715	North Carolina public school teachers' contact patterns and mask use within and outside of school during the pre-vaccine phase of the COVID-19 pandemic.	Am J Infect Control
