link,title,abstract,tag,author,keyword
https://pubmed.ncbi.nlm.nih.gov/33649778/,Current molecular and clinical insights into uveal melanoma (Review),"Uveal melanoma (UM) represents the most prominent primary eye cancer in adults. With an incidence of approximately 5 cases per million individuals annually in the United States, UM could be considered a relatively rare cancer. The 90‑95% of UM cases arise from the choroid. Diagnosis is based mainly on a clinical examination and ancillary tests, with ocular ultrasonography being of greatest value. Differential diagnosis can prove challenging in the case of indeterminate choroidal lesions and, sometimes, monitoring for documented growth may be the proper approach. Fine needle aspiration biopsy tends to be performed with a prognostic purpose, often in combination with radiotherapy. Gene expression profiling has allowed for the grading of UMs into two classes, which feature different metastatic risks. Patients with UM require a specialized multidisciplinary management. Primary tumor treatment can be either enucleation or globe preserving. Usually, enucleation is reserved for larger tumors, while radiotherapy is preferred for small/medium melanomas. The prognosis is unfavorable due to the high mortality rate and high tendency to metastasize. Following the development of metastatic disease, the mortality rate increases to 80% within one year, due to both the absence of an effective treatment and the aggressiveness of the condition. Novel molecular studies have allowed for a better understanding of the genetic and epigenetic mechanisms involved in UM biological activity, which differs compared to skin melanomas. The most commonly mutated genes are GNAQ, GNA11 and BAP1. Research in this field could help to identify effective diagnostic and prognostic biomarkers, as well as novel therapeutic targets.",uveal melanoma; staging; treatment; diagnosis; prognosis; biomarkers; epigenetics.,Matteo Fallico;Giuseppina Raciti;Antonio Longo;Michele Reibaldi;Vincenza Bonfiglio;Andrea Russo;Rosario Caltabiano;Giuseppe Gattuso;Luca Falzone;Teresio Avitabile,melanoma
https://pubmed.ncbi.nlm.nih.gov/33318230/,Central Diabetes Insipidus in a Preterm Neonate Unresponsive to Intranasal Desmopressin,"Central or neurogenic diabetes insipidus (DI) is uncommon in the pediatric age group and rarely occurs in neonates. It should be suspected in any neonate presenting with excessive urine output and hypernatremia that persists despite increased fluid administration. Diabetes insipidus may be secondary to asphyxia, intraventricular hemorrhage, infection, and structural abnormalities or may be idiopathic or genetic. Diagnosis includes a careful history, laboratory testing, and magnetic resonance imaging. Management of neonatal DI involves a careful balance between fluid intake and pharmacologic treatment. In this article we report a case of an extremely low birth weight infant presenting with central DI possibly caused by abnormality of the pituitary gland. Persistent hypernatremia was the initial presentation. Increased fluids were given initially but were only partially helpful. Eventually subcutaneous desmopressin (DDAVP) was required. The infant was unresponsive to intranasal DDAVP and required subcutaneous DDAVP upon discharge.",DDAVP; central diabetes insipidus; cranial diabetes insipidus; desmopressin; hypernatremia; vasopressin.,Abrar Hussain;R John Baier;Ayman Abou Mehrem;Hanifi Soylu;Debbie Fraser;Yasser Elsayed,diabetes
https://pubmed.ncbi.nlm.nih.gov/8358692/,"Hypertension follow-up survey Laval, Quebec, 1988","In 1988, a follow-up study of a group of hypertensives (n = 278), identified two years earlier in a prevalence survey (1986), was conducted. Blood pressure (BP) levels, treatment and control status and medical follow-up were assessed. Subjects were classified as either known hypertensives or newly identified hypertensives. There was a moderate increase in blood pressure control over the two-year period in known hypertensives. Approximately half of newly identified hypertensives remained untreated, uncontrolled; half became ex-hypertensives. One third of the ex-hypertensives, however, still had high-normal diastolic readings (85-89 mm Hg). Newly identified hypertensives reported less frequent medical visits and fewer non-pharmacological recommendations from their physicians than known hypertensives. The study suggests that follow-up and counselling on modifiable risk factors in borderline and mild hypertensives might not be up to recent Canadian and American guidelines.",,L A Pica;M M Boucher;R Grignon;R Guibert;V Déry,hypertension
https://pubmed.ncbi.nlm.nih.gov/6728257/,[DDAVP in the treatment of acute neurosurgical diabetes insipidus],"The effects of a synthetic vasopressin analogue, DDAVP (1-deamino-8-d- arginine-vasopressin) were studied in 5 adults and 2 children with acute central diabetes insipidus secondary to neurosurgery. 5 mcg DDAVP was administered intranasally twice a day to the two children, whereas the adults received the drug i.m. (1 mcg twice a day, 3 patients; 1 mcg once a day, 1 patient; 4 mcg twice a day, 1 patient). All subjects displayed an early, prolonged response (12-24 hr). There were no side-effects. The effectiveness of DDAVP, its prolonged action, and virtual freedom from side-effects when given intranasally or parenterally make it the drug of choice in the treatment of acute neurosurgical diabetes insipidus.",,F Zancaner;A Griner;E Galante,diabetes
https://pubmed.ncbi.nlm.nih.gov/4093246/,Nephrogenic diabetes insipidus. Radiological and clinical features,"Two brothers with nephrogenic diabetes insipidus are presented. The importance of early recognition and treatment to reverse the consequential complications are underscored. The disorder has a sex-linked recessive transmission, where all male offspring of an affected mother show the extreme thirst characteristic of the disease; in whom hyposthenuria persisted despite arginine vasopressin infusion, and in whom the serum arginine vasopressin concentrations correlate with the serum osmolality which serves to discriminate nephrogenic diabetes insipidus from the pituitary diabetes insipidus. The radiological features of ""non-obstructive"" hydronephrosis and hydroureters, the combined use of hydrochlorothiazide and the potassium-sparing diuretic amiloride in comparison to the prostaglandin inhibitor are discussed.",,M A Hartenberg;M Cory;J C Chan,diabetes
https://pubmed.ncbi.nlm.nih.gov/6687336/,Multiple endocrine abnormalities in Basenji dogs with renal tubular dysfunction,"Three Basenji dogs with renal tubular dysfunction were studied. Hyposthenuria and diminished urine concentrating ability, indicative of nephrogenic diabetes insipidus, were documented. Metabolic acidosis, hyperchloremia, and reduction in glomerular filtration rate also were detected in all dogs. In addition, an exaggerated response to the adrenocorticotropin test and hyperaldosteronism, believed to be secondary to decreased effective circulating blood volume, were detected in all 3 dogs. Thyroxine values were decreased in all dogs and could be correlated with histopathologic changes of the thyroid gland in 2 dogs. Gastropathy and hypergastrinemia were identified in 2 dogs. Diffuse lymphocytic-plasmacytic enteritis was evident in 2 dogs. It was concluded that a urine concentrating defect that may be secondary to hypercortisolism exists in Basenji dogs with renal tubular dysfunction.",,E B Breitschwerdt;R Ochoa;C Waltman,diabetes
https://pubmed.ncbi.nlm.nih.gov/16928976/,Percutaneous thoracic drainage in neonates: catheter drainage versus treatment with aspiration alone,Purpose: To retrospectively compare thoracic drainage in neonates by using catheter and aspiration techniques.,,Ryan Margau;Joao G Amaral;Peter G Chait;Justine Cohen,chest
https://pubmed.ncbi.nlm.nih.gov/17883365/,Candida osteo-chondromyelitis complicating thoraco-abdominal esophageal surgery,Background: Candida albicans osteo-costochondromyelitis is a rare condition. Such pathology after esophagectomy has not been reported.,,Giuseppe Sica;Sara Meissner;Khaled Dawas;Nick Maynard,chest
https://pubmed.ncbi.nlm.nih.gov/1687447/,Hypertension in African Americans: evaluation and treatment issues,"The evaluation and treatment of hypertension in the African-American patient with an elevated blood pressure presents a diagnostic challenge. We are less able to rely on young age and resistance to treatment as indications for more extensive evaluation of secondary causes of hypertension; thus, greater reliance on history, physical examination, and clinical judgment is required if we are to identify potentially treatable causes. The treatment of hypertension in the African-American patient also presents a therapeutic challenge. Thiazide diuretics remain the drugs of first choice for treating hypertension in the African-American hypertensive. The calcium channel blockers (CCBs) are attractive alternatives to thiazides in patients uncontrolled by or intolerant of thiazides or who have specific indications for these agents (eg, angina, severe diastolic dysfunction). Beta-blockers should not be denied to African-American hypertensives if indications for their use exist. Although beta-blockers may be less effective as monotherapy, 50% of African-American hypertensives can be so controlled. Resistance to beta-blockers may be eliminated by administering them with a diuretic. The angiotensin converting enzyme inhibitors (ACEIs), like CCBs, are well tolerated, but also lack long-term primary prevention data. As is the case with beta-blockers, ACEIs are less effective in African-American hypertensives when used as monotherapy. ACEIs have particular value in therapy for African-American hypertensives with concomitant congestive heart failure and may protect against progression of diabetic nephropathy. Finally, all hypertensives, especially African-American hypertensives, should have access to treatment prior to the development of end organ damage. The cost of early intervention is minimal compared with the economic consequences of neglect.",,S H Kailani;J T Wright Jr,hypertension
https://pubmed.ncbi.nlm.nih.gov/32445818/,Metformin-loaded chitosomes for treatment of malignant pleural mesothelioma - A rare thoracic cancer,"The purpose of this study was to design and evaluate chitosan dispersed lipid vesicles (chitosomes) as potential delivery carriers for repurposing metformin (Met) against malignant pleural mesothelioma. Chitosomes were prepared by directly hydrating the thin lipid film using chitosan solution as hydration medium, instead of using it as a coating agent. Developed chitosomes demonstrated spherical morphology, positive surface charge (~30 mV) and ~60% encapsulation efficiency. The calorimetric studies and X-ray diffraction pattern of Met-loaded chitosomes confirmed the successful encapsulation of Met inside the chitosome vesicles. Optimized chitosome formulation showed ~70% drug release in 72 h, displaying prolonged and controlled release of drug. Results demonstrated that Met encapsulated chitosomes possessed enhanced cellular internalization and improved cytotoxic potential. Our findings also supported inhibitory activity of chitosomes against metastatic property of pleural mesothelioma cells. The in-vitro tumor simulation studies further established anti-tumor activity of Met encapsulated chitosomes as supported by reduction in tumor volume and presence of minimal viable cells in tumor mass. The obtained results establish the effectiveness of chitosomes as delivery carrier for Met as treatment alternative for malignant pleural mesothelioma.",Chitosan dispersed liposomes; Chitosome; Liposomes; Malignant pleural mesothelioma; Metformin; Repurposing.,Snehal K Shukla;Amanda Chan;Vineela Parvathaneni;Vivek Gupta,chest
https://pubmed.ncbi.nlm.nih.gov/2664010/,Differential expression of ras oncogene products among the types of human melanomas and melanocytic nevi,"Ras oncogene expression of malignant melanoma and melanocytic nevus have been immunohistochemically analyzed on formalin-fixed and paraffin-embedded tissues from 26 melanomas and 24 melanocytic nevi with a monoclonal antibody that was generated against Harvey sarcoma virus-derived ras oncogene products (p21ras). We found distinct differences of p21ras expressions by the type of melanoma. Nodular melanoma, epithelioid cell type melanoma, and deeply invading melanoma revealed higher reactivity with anti-p21ras monoclonal antibody than the other types. The reactivity of melanomas appeared to correlate with the degree of malignancy of the melanoma. It was also demonstrated, however, that part of melanocytic nevi reacted with anti-p21ras monoclonal antibody with a relatively strong intensity. Melanocytic nevi with junctional activity and nevus cells located in the epidermis in compound nevi did not show the positive reaction in contrast to dermally located nevus cells that had relatively strong reactivity. The different p21ras expression among the type of tumors may represent the state of tumor cells differentiation with greater expression with more immaturity in the melanocyte lineage. p21ras expression does not appear to represent a marker of malignant transformation.",,H Yasuda;H Kobayashi;A Ohkawara;N Kuzumaki,melanoma
https://pubmed.ncbi.nlm.nih.gov/33630825/,First Identified Cases of SARS-CoV-2 Variant B.1.1.7 in Minnesota - December 2020-January 2021,"On January 9, 2021, the Minnesota Department of Health (MDH) announced the identification of the SARS-CoV-2 variant of concern (VOC) B.1.1.7, also referred to as 20I/501Y.V1 and VOC 202012/01, in specimens from five persons; on January 25, MDH announced the identification of this variant in specimens from three additional persons. The B.1.1.7 variant, which is reported to be more transmissible than certain other SARS-CoV-2 lineages*,† (1), was first reported in the United Kingdom in December 2020 (1). As of February 14, 2021, a total of 1,173 COVID-19 cases of the B.1.1.7 variant had been identified in 39 U.S. states and the District of Columbia (2). Modeling data suggest that B.1.1.7 could become the predominant variant in the United States in March 2021 (3).",,Melanie J Firestone;Alexandra J Lorentz;Xiong Wang;Kathryn Como-Sabetti;Sara Vetter;Kirk Smith;Stacy Holzbauer;Stephanie Meyer;Kristin Ehresmann;Richard Danila;Ruth Lynfield,covid-19
https://pubmed.ncbi.nlm.nih.gov/27303586/,[Etiology of endocrine arterial hypertensions: about a series of cases],"Arterial hypertensions (HTA) of endocrine origin are a rare cause of hypertension; HTA overall prevalence don't exceed 4% of hypertensive patients. Research interest in endocrine HTA is due to the severity of some life-threatening, potentially curable and reversible forms of HTA. The aim of our study was to determine the clinical, paraclinical, etiological and therapeutic profile of secondary HTA of endocrine origin in patients treated in endocrinology department at the University Hospital Mohamed VI in Marrakech. We conducted a prospective, descriptive study spanned 4 years, enrolling 45 patients with endocrine HTA. The average age was 44.89 years, with a clear predominance of women (sex ratio 0.49). Etiology of endocrine HTA was dominated by pheochromocytoma (17 cases), hypercorticism (11 cases) and acromegaly (8 cases). HTA were paroxysmal in 24.4%. HTA were immediately classified as grade 3 severe in 40% of cases. HTA were complicated by heart disease in 24% of cases and by renal disease in 20% of cases. Curative treatment cleared up HTA in 60% of cases (27 cases). The diagnosis of secondary endocrine HTA is sometimes difficult because of the lack of clinical specificity. It is not unusual for HTA to be the only manifestation of the disease. In our study we noted the paroxysmal and severe nature of HTA. The potentially curable nature of HTA in more than two thirds of cases, demostrates the importance of early diagnosis of each severe HTA resistant to treatment or in the presence of suggestive clinical, biological or radiological signs.",,Naima Bouznad;Ghizlane El Mghari;Nawal El Ansari,hypertension
https://pubmed.ncbi.nlm.nih.gov/9670692/,[A case of acute leukemia with a diabetes insipidus syndrome and thrombocytosis],"A case is described of acute leukosis presenting with unusual clinical picture. In a female patient aged forty nine presenting with signs of diabetes insipidus, blood count revealed thrombocytosis together with alterations suggesting acute leukosis. Bone marrow blasts showed the typical morphological features of megakaryoblasts. Institution of chemotherapy made for dispelling of diabetes-insipidus manifestations. To the authors' thinking, they observed a rare megakaryoblastic variety of acute leukosis caused by leukotic infiltration of the hypothalamohypophyseal zone in a patient wasted by heavy urination as is common in diabetes insipidus.",,V M Tyrkasova;T G Shekhovtseva;O A Tyrkasova,diabetes
https://pubmed.ncbi.nlm.nih.gov/33991088/,Protein-based lateral flow assays for COVID-19 detection,"To combat the enduring and dangerous spread of COVID-19, many innovations to rapid diagnostics have been developed based on proteinprotein interactions of the SARS-CoV-2 spike and nucleocapsid proteins to increase testing accessibility. These antigen tests have most prominently been developed using the lateral flow assay (LFA) test platform which has the benefit of administration at point-of-care, delivering quick results, lower cost, and does not require skilled personnel. However, they have gained criticism for an inferior sensitivity. In the last year, much attention has been given to creating a rapid LFA test for detection of COVID-19 antigens that can address its high limit of detection while retaining the advantages of rapid antibodyantigen interaction. In this review, a summary of these proteinprotein interactions as well as the challenges, benefits, and recent improvements to protein based LFA for detection of COVID-19 are discussed.",antibody test; antigen test; covid-19; diagnostics; lateral flow assay.,Farbod Mahmoudinobar;Dustin Britton;Jin Kim Montclare,covid-19
https://pubmed.ncbi.nlm.nih.gov/33540129/,The characteristics of 527 discharged COVID-19 patients undergoing long-term follow-up in China,"Background: Almost a year after the outbreak of coronavirus disease 2019 (COVID-19), many hospitalized COVID-19 patients have recovered. However, little is known about the long-term follow-up (> 2 months) of discharged patients.",Antibodies; COVID-19; Discharged patients; Follow-up; Imaging features.,Jintao Zhang;Jiawei Xu;Shengyu Zhou;Chunting Wang;Ximing Wang;Wei Zhang;Kang Ning;Yun Pan;Tian Liu;Jiping Zhao;Liang Dong,covid-19
https://pubmed.ncbi.nlm.nih.gov/18418105/,Measurement of thoracic fluid content in heart failure: the role of impedance cardiography,"Current guidelines for assessing the fluid status of patients with heart failure include subjective physical findings, which often occur late in decompensation, and objective pulmonary artery catheter measurements, whose use is controversial in patients with heart failure. Impedance cardiography, which assesses cardiac function by measuring the opposition to an alternating electric current in the thorax, indicates the amount of fluid in the thorax. It is used externally by employing electrodes on the thorax but can also be used internally by electrodes within a cardiac pacemaker. Recent studies have suggested that one of its direct measurements, thoracic impedance, may identify patients at risk for decompensation of heart failure, but because these measurements inconsistently correlate with pulmonary artery catheter measurements and study sample sizes are small, further research is required before its use can be recommended.",,Lynn Folan;Marjorie Funk,chest
https://pubmed.ncbi.nlm.nih.gov/34356000/,Effect of multiple freeze-thaw cycles on the detection of anti-SARS-CoV-2 IgG antibodies,"Several studies have investigated the effect of repeated freeze-thaw (F/T) cycles on RNA detection for severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2). However, no data are available regarding the effect of repeated F/T cycles on SARS-CoV-2 antibody detection in serum. We investigated the effect of multiple F/T cycles on anti-SARS-CoV-2 IgG detection using an ELISA test targeting the nucleocapsid antibodies. Ten positive and 1 negative SARS-CoV-2 IgG sera from 11 participants, in replicates of 5, were subjected to a total of 16 F/T cycles and stored at 4 °C until tested by ELISA. Statistical analysis was performed to test for F/T cycle effect. None of the 10 positive sera became negative after 16 F/T cycles. There was no significant difference in the OD average reading between the first and last F/T cycles, except for one serum with a minimal decline in the OD. The random effect linear regression of log (OD) on the number of cycles showed no significant trend, with a slope consistent with zero (B=-0.0001; 95 % CI -0.0008; 0.0006; P-value=0.781). These results suggest that multiple F/T cycles had no effect on the ability of the ELISA assay to detect SARS-CoV-2 IgG antibodies.",COVID-19; IgG; SARS-CoV-2; antibodies; detection; freeze; thaw.,Farah M Shurrab;Duaa W Al-Sadeq;Fathima Amanullah;Salma N Younes;Hadeel Al-Jighefee;Nadin Younes;Soha R Dargham;Hadi M Yassine;Laith J Abu Raddad;Gheyath K Nasrallah,covid-19
https://pubmed.ncbi.nlm.nih.gov/10473158/,Clinicopathological characteristics of melanomas of the hand,"A 25-year clinicopathological review of 19 patients with malignant melanoma of the hand is reported. There were 11 women (median age 73 years) and eight men (median age 70 years). Eleven tumours were subungual, six on the dorsum of the hand, and two had a palmar location. Seven tumours were acral lentiginous melanomas, six were superficial spreading melanomas, and five were of the nodular subtype. Eleven patients presented with localized disease (clinical stage I), four with local spread (clinical stage II), and four with regional lymph node metastases (clinical stage III). Nine of the patients have died of the disease, with a median survival time of 30 months (range, 10-84 months). The subungual melanomas were thicker and the patients were older at presentation compared with the non-subungual sites. Review of our patients emphasized the need for early diagnosis.",,L M Hove;L A Akslen,melanoma
https://pubmed.ncbi.nlm.nih.gov/33994323/,A patient with human coronavirus NL63 falsely diagnosed with COVID-19; Lesson learned for the importance of definitive diagnosis,"The gold standard for the diagnosis of coronavirus disease 2019 (COVID-19) is a nucleic acid detection test for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), which may occasionally reveal false-positive or false-negative results. Herein, we describe a case of a patient infected with human coronavirus NL63 (HCoV-NL63) who was falsely diagnosed with COVID-19 using the Ampdirect™ 2019-nCoV detection kit (Shimadzu Corporation, Japan) and SARS-CoV-2 Detection Kit (TOYOBO co., ltd.), and was admitted to a COVID-19 hospital ward. We suspected a cross-reaction between HCoV-NL63 and SARS-CoV-2; however, the reported genome sequences of HCoV-NL63 and N1/N2 primers for SARS-CoV-2 do not correspond. Thus, the PCR result was supposed to be a false positive possibly due to contamination or human error. Although the issue of a false-negative result has been the focus of much attention to prevent the spread of the disease, a false positive is fraught with problems as well. Physicians should recognize that unnecessary isolation violates human rights and a careful diagnosis is indispensable when the results of laboratory testing for COVID-19 are unclear. Generally, in cases such as a duplicate PCR test was partially positive, either N1 or N2 alone was positive, PCR testing for two or more target regions resulted in a positive only for single region, a high cycle threshold >35 was obtained, a false positive should be suspected. Especially, when these conditions coincide, we should recognize the high likelihood of a false positive.",Coronavirus disease 2019; Human coronavirus; Severe acute respiratory syndrome coronavirus 2.,Yuki Otsuka;Hideharu Hagiya;Yasuhiro Nakano;Daisuke Omura;Kou Hasegawa;Haruto Yamada;Koji Iio;Tomoyuki Honda;Fumio Otsuka,covid-19
